total_output_power,pa1,pa2,pa3
650.77,209.68,211.55,207.91
649.85,209.74,211.58,208.36
649.86,210.31,211.32,206.9
649.23,209.21,210.95,206.62
649.21,209.61,211.35,207.3
648.86,209.41,211.33,207.49
650.18,209.63,211.18,207.89
649.83,209.79,211.53,207
649.72,209.87,211.75,207.72
649.64,209.44,211.53,207.22
651.62,209.64,211.67,208.01
648.35,209.48,211.05,206.64
648.64,209.6,211.45,207.3
649.76,209.41,211.34,206.99
649.64,209.54,211.89,207.21
649.64,209.98,211.71,207.4
649.94,209.26,211.25,206.9
650.01,209.76,211.51,208.37
648.82,209.11,211.16,207
650.2,208.76,211.02,208.88
649.35,208.19,210.11,209.48
649.52,208.54,210.37,209.81
648.02,208.16,210.29,209.19
649.18,208.66,210.11,209.71
648.7,208.16,209.58,209.7
649.87,208.56,210.34,209.89
650.4,207.77,209.44,209.64
647.89,208.36,209.82,208.18
646.94,208.34,210.48,207.12
647.89,208.79,210.33,206.95
649.46,211.83,210.46,207
650.1,210.69,210.66,207.11
650.12,211,210.76,206.81
648.54,210.51,210.34,207.1
646.97,209.46,210.4,206.81
648.97,210.58,210.18,206.88
649.04,210.83,210.16,206.84
649.51,210.43,209.64,207
650.1,211.02,209.6,207.1
650.15,210.67,210.18,207.3
650.17,211.03,210.97,206.91
650.08,211.63,210.33,207.16
649.95,210.46,210.01,206.78
649.4,210.85,210.07,207.27
650.64,211.16,210.4,207.03
649.24,210.76,209.69,207.17
650.21,211.26,210.29,207.86
650.43,210.96,209.89,207.03
649.49,211.16,209.91,207.38
649,210.76,210.46,206.96
651.3,211.16,210.29,207.26
650.64,211,210.51,207.58
649.46,210.92,209.97,207.35
649.69,211.55,210.18,207.08
650.94,211.37,210.4,207.1
650.08,211.25,210.5,207.3
649.32,209.75,211.07,207.1
650.46,210.7,210.29,206.62
651.04,210.76,210.76,208
650.19,211.17,210.5,207.12
650.1,211.01,210.83,207.27
650.55,211.11,210.57,207.69
652.95,210.96,210.13,210.28
652.25,211.06,210.02,209.84
652.23,211.44,210.57,209.81
652.65,211.38,210.47,209.32
651.83,211.26,210.67,209.18
651.88,211.02,210.58,209.71
649.81,208.19,210.45,208.49
649.22,210.76,209.72,206.84
650.39,209.9,210.24,208.85
652.7,211.64,210.47,210.14
652.09,210.96,210.67,209.55
649.31,210.11,210.96,208.3
652.97,211.09,210.46,209.01
651.68,210.58,210.96,209.7
652.87,210.88,210.98,210.31
652.54,210.48,211.05,209.96
650.43,210,211.06,207.69
651.61,209.71,210.91,209.93
652.15,210.24,211.02,209.88
652.17,210.57,210.92,209.73
650.88,209.73,210.12,209.22
652.55,210.89,210.4,208.89
650.28,209.98,210.75,208.33
650.19,210.14,211.15,208.28
650.44,209.99,211.05,208.45
650.71,209.33,210.27,209.5
650.66,209.4,210.67,209.68
652.21,209.95,210.76,210.28
651.89,209.77,211.06,209.11
650.38,210.1,211.06,208.16
650.43,210.2,210.76,208.17
649.42,209.47,210.76,207.68
650.91,210.28,210.57,208.4
650.95,210.57,210.87,208.22
650.16,210.5,210.96,208.66
649.22,210.38,211.05,208.37
651.58,210.25,211.59,208.9
651.74,210.86,211.82,209.05
649.52,210.87,209.03,209.21
650.14,210.53,210,208.61
651.35,210.18,211.15,208.61
650.45,210.81,212.18,208.58
649.83,210.94,208.36,208.93
650.13,210.96,209.33,209.8
650.68,210.96,210.87,209.1
651.02,210.66,209.65,209.48
649.32,210.97,209.13,209.62
650.86,211.06,209.3,209.73
651.1,211.66,209.42,210.05
652.15,211.2,208.79,209.51
650.07,210.45,209.98,210.08
649.82,210.57,209.32,209.89
649.27,210.26,209.68,210.27
649.77,210.36,209.9,209.71
649.82,210.56,210.1,210.05
649.52,210.13,210.38,209.3
649.71,209.8,209.19,209.16
649.64,209.71,208.77,209.5
650.06,209.61,208.83,209.46
650.22,209.81,209.07,209.64
650.73,210.49,205.85,210.39
650.42,209.79,210.09,209.85
648.91,210.08,209.46,208.9
649.52,209.89,209.61,209.32
650.27,210.48,209.44,209.13
648.94,210.09,209.76,209.52
649.97,209.58,208.97,209.72
650.13,210.48,209.76,209.57
648.3,210.33,209.68,208.3
650.13,210.92,208.73,209.2
649.79,210.19,210.09,210.28
650.41,210.23,209.6,209.86
650.94,210.11,210.02,209.92
649.71,209.71,209.97,209.33
649.52,210.68,210.02,209.23
650.44,210.6,210.17,210.17
649.83,210.55,210.29,208.91
650.76,210.48,210.49,209.3
651.04,210.3,210.19,209.05
649.83,210.24,210.06,208.6
651.26,210.76,210.53,209.32
649.43,210.1,209.39,208.42
650.17,210.43,210.09,209.16
649.35,210.44,210.01,208.42
649.14,210.24,210.43,208.5
647.97,209.92,210.26,208.48
648.99,209.89,209.89,209.81
650.71,210.18,210.07,209.26
649.19,209.98,209.56,208.71
649.79,210.55,210.06,208.93
650.22,210.11,210.09,208.93
649.97,209.99,209.99,209.56
650.29,210.2,209.92,209.65
649.73,209.87,210.37,209.74
649.55,210.73,210.29,208.97
649.24,209.83,209.87,208.5
649.55,210.28,210.11,208.74
650.76,210.67,210.19,209.8
651,210.18,211.31,208.55
650.48,210.38,211.58,209.35
648.61,210.44,211.03,207.41
647.98,210.96,210.07,207.68
650.92,210.13,211.61,209.52
650.56,209.73,211.2,209.28
650.74,210.13,210.59,209.8
651.38,210.27,210.7,210.19
651.34,209.8,210.68,209.61
651.31,210.47,210.34,209.98
650.55,210.55,211.28,208.74
649.96,210.21,210.43,208.93
649.62,210.18,209.79,208.75
651.18,210.38,210.47,209.65
651.01,209.68,210.36,209.95
651.2,210.35,210.63,209.79
651.42,209.82,210.8,210.02
651.05,210.28,211.16,210.07
651.93,210.57,210.86,209.32
651.62,210.39,210.85,209.95
650.7,210.88,211.38,209.52
650.53,210.07,211.26,208.8
650.74,210.39,210.78,209.35
652.07,210.28,210.88,209.79
651.38,210.6,211.25,209.46
650.93,210.44,211.15,208.48
650.43,210.59,210.86,208.65
652.51,210.48,210.96,209.59
651.28,210.65,211.23,208.82
652.83,210.8,211.89,209.69
651.44,210.23,211.56,209.15
649.56,210.03,210.52,208.79
650.02,209.53,210.42,208.99
