total_output_power,pa1,pa2,pa3
953.24,298.76,339.96,339.94
953.52,296.4,339.78,339.67
954.15,296.1,340.15,339.43
955.84,296.32,340.06,340.17
955.41,296.75,339.63,339.52
954.07,296.5,340.1,339.04
954.09,297.15,339.94,340.59
954.48,297.03,338.1,341.32
954.96,298.14,339.37,340.85
951.03,296.63,338.96,338.91
953.6,296.29,338.57,341.2
952.19,296.05,340.01,341.5
953.65,296.05,339.42,340.19
952.67,296.24,339.67,338.38
953.37,296.77,340.37,338.63
955.63,297.35,340.05,339.31
954.06,298.19,340.5,339.95
953.23,296.6,339.77,340.75
950.61,295.62,339.02,338.08
952.58,296.48,339.53,339.35
956.57,296.63,339.23,341.23
954.75,296.48,339.47,338.59
954.95,297.06,339.89,340.29
956.08,295.74,338.02,341.03
957.16,299.31,339.9,341.26
957.45,298.47,340.92,341.82
953.06,298.08,339.69,339.2
957.99,296.64,341.54,340.44
950.61,299.92,338.21,340.56
951.95,295.43,339.03,340.72
955.92,296.35,340.77,341.02
950.73,296.47,338.26,340.87
952.19,296.06,339.49,340.01
957.23,298.88,340.57,340.72
953.53,299.4,338.88,341.34
954.53,297.58,340.18,341.43
959.23,296.84,340.84,341.35
958.12,299.43,339.38,340.28
952.39,299.21,339.5,339.34
953.52,296.57,338.76,338.89
953.09,297.4,340.71,341.49
958.14,296.65,341.07,340.27
955.83,297.9,339.95,339.61
952.56,299.57,339.78,340.34
953,296.72,339.14,338.81
956.09,297,340.04,341.29
954.36,297.23,338.74,341.42
952.63,297.64,339.81,339.17
955.12,297,339.6,340.62
953.21,297.62,339.63,338.62
954.1,296.91,340.21,340.47
953.66,295.97,339.84,340.72
953.64,295.47,340.43,340.87
953.69,296.13,340.56,340.91
958.77,295.33,340.67,340.52
956.89,299.1,341.46,341.35
955.71,299.08,339.8,341.19
951.91,298.1,339.29,338.93
952.78,298.43,339.88,339.38
956.25,298.61,340.83,340.96
950.87,297.77,337.24,338.88
956.34,296.56,341.09,339.37
955.5,299.13,339.63,341.05
956.3,298.64,339.31,341.18
957.18,298.22,340.73,341.67
957.14,299.74,340.25,341.08
956.45,299.46,339.77,340.03
952,299.17,339.6,340.97
955.76,297.23,340.58,341.8
955.69,298.79,340.58,341.37
952.53,299.07,339.38,340.79
957.11,295.5,340,340.71
953.78,298.8,340.41,340.56
956.96,297.68,341.11,341.03
958.35,299.63,340.83,341.51
954.13,299.11,339.76,340.56
954.16,298.92,338.36,340.87
955.76,298.18,340.66,341.51
955.51,298.27,340.66,340.56
956.2,298.59,340.42,341.67
957.2,299.17,340.39,341.35
