total_output_power,pa1,pa2,pa3
697.72,225.62,226.92,225.32
696.77,225.86,226.49,224.72
695.58,224.66,226.97,225.33
696.45,224.87,227.31,225.87
694.94,224.77,227.17,225.56
694.89,225.42,226.91,225.02
697.11,226.22,226.66,225.11
697.9,226.52,227.28,226.03
697.62,225.09,227.14,226.16
698.15,225.3,227.29,225.84
695.94,223.73,227.19,226.05
696.96,226.12,227.19,225.3
698.27,224.55,227.18,227
691.14,224.29,225.12,225.01
691.59,225.19,225.9,224.77
695.03,225.2,225.84,226.07
694.99,225.51,225.89,226.67
695.37,225.44,226.14,225.73
695.04,225.2,225.94,226.16
694.7,224.58,225.72,225.7
696.71,225.1,227.58,226.14
694.85,225.02,226.42,226.53
694.83,225.23,226.17,226.18
693.62,223.95,226.76,226.43
693.15,224,226.26,225.23
697.53,225.5,226.39,225.93
696.38,224.36,226.94,226.28
699.34,225.64,226.99,226.22
696.89,225.66,227.42,226.11
697.62,224.32,227.2,226.31
697.23,224.67,226.3,226.61
694.02,224.34,225.64,225.44
694.72,223.77,226.45,225.24
696.09,225.15,226.44,225.48
694.95,225.43,226.09,225.37
695.35,224.07,226.73,226.35
693.02,225.1,225.8,225.04
693.99,225.23,226.06,226.27
692.77,224.79,225,226.29
692.44,224.57,225.31,226.65
693.26,225.04,225.64,226.05
696,224.39,225.59,226.18
693.13,224.39,226.96,225.46
695.4,225.03,226.77,225.91
695.84,224.92,227.2,226.38
698.17,225.48,226.86,225.59
695.69,224.79,227.11,225.63
693.46,223.9,225.64,225.33
693.71,224.13,226.06,224.48
695.14,224.71,226.96,225.06
694.66,224.5,226.09,226.07
693.76,223.97,225.12,226.87
696.39,224.69,225.87,226.5
698.45,224.84,227.61,226.25
694.32,224.98,225.11,225.94
696.61,225.02,227.16,225.24
696.51,224.76,227.3,226.6
695.9,225.3,226.3,227.01
694.37,223.91,225.9,226.32
696.58,224.88,227.37,226.8
694.08,225.4,226.77,226.17
